INLINE NewItemTable,Name,Description,Use Desc,ID,Type,ItemAbility,Stat Boosts,Effectiveness,Uses,Mt,Hit,Wt,Crit,Range,Price Per Use,Weapon Level,Icon,Use Effect,Weapon Effect,Weapon EXP,Debuff Type,IER Byte,Item Skill
Sharkbite,SharkName,SharkDesc,0x0,0x84,0x3,IsWeapon|IsMagic|Unsellable,0x0,0x0,30,12,120,5,5,0x11,0,ERank,0x83,0x0,NoEffect,1,0x0,0x0,0x0
Minute Hand,MinuteName,MinuteDesc,0x0,0x85,0x0,IsWeapon|Unsellable|AmeliaLocked,0x88aef48,SacredWeaponEffectiveness|IsPointer,30,16,90,9,0,0x11,0,NoRank,0x84,0x0,NoEffect,1,0x0,0x0,0x0
Thoron,ThoronName,ThoronDesc,0x0,0x86,0x2,IsWeapon|IsMagic,0x0,0x0,25,12,65,8,5,0x11,160,BRank,0x85,0x0,NoEffect,1,0x0,0x0,0x0
Seiso's Light,SeisoName,SeisoDesc,0x0,0x87,0x6,IsWeapon|IsMagic|Unsellable,0x88aef54,SacredWeaponEffectiveness|IsPointer,30,15,95,11,5,0x12,0,SRank,0x86,0x0,NoEffect,1,0x0,0x0,0x0
HoloEmblem,HoloEmblemName,HoloEmblemDesc,HoloEmblemUse,0x88,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,20000,NoRank,0x87,0x2d,NoEffect,0,0x0,0x0,0x0
Potion,MetisName,MetisDesc,0x4df,0x89,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,0x88,0x2e,NoEffect,0,0x0,0x0,0x0
Master Proof,MasterName,MasterDesc,MasterUse,0x8a,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,20000,NoRank,0x89,0x2f,NoEffect,0,0x0,0x0,0x0
Sharp Claw,0x39d,0x44d,0x0,0x8b,0xb,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,14,65,14,0,0x11,0,NoRank,0x8a,0x0,NoEffect,0,0x0,0x0,0x0
Candy Staff,CandyName,CandyDesc,CandyUse,0x8c,0x4,IsStaff|Unsellable,0x0,0x0,5,0,100,5,0,0xff,0,SRank,0x8b,0x37,NoEffect,1,0x0,0x0,0x0
Shield Seal,ShieldName,ShieldDesc,0x0,0x8d,0x1,IsWeapon,0x0,DragonEffectiveness|IsPointer,30,10,70,8,0,0x11,150,CRank,0x8c,0x0,NoEffect,1,0x0,0x0,0x0
Fork,ForkName,ForkDesc,0x0,0x8e,0x1,IsWeapon|Unsellable,0x88aef60,SacredWeaponEffectiveness|IsPointer,35,19,80,11,0,0x11,0,SRank,0x8d,0x0,NoEffect,1,0x0,0x0,0x0
Yabai,YabaiName,YabaiDesc,0x0,0x8f,0x7,IsWeapon|IsMagic|Indestructible,0x0,0x0,0,40,95,24,0,0x12,0,SRank,0x8e,0x0,NoEffect,1,0x0,0x0,0x0
Wretched Air,0x397,0x447,0x4ac,0x90,0xb,IsWeapon|Indestructible|MonsterWeapon|NegateDef,0x88aef6c,0x0,0,10,100,0,0,0x12,0,ARank,0x8f,0x0,NoEffect,0,0x0,0x0,0x0
Peko's Gambit,PekoName,PekoDesc,0x0,0x91,0x0,IsWeapon|Unsellable,0x88aef78,SacredWeaponEffectiveness|IsPointer,30,18,85,10,0,0x11,0,SRank,0x90,0x0,NoEffect,1,0x0,0x0,0x0
Violance,VioName,VioDesc,0x0,0x92,0x1,IsWeapon|Unsellable,0x88aef84,SacredWeaponEffectiveness|IsPointer,30,14,70,11,0,0x11,0,NoRank,0x91,0x0,NoEffect,1,0x0,0x0,0x0
Brandioche,BrandName,BrandDesc,0x0,0x93,0x2,IsWeapon|Unsellable,0x88aef90,SacredWeaponEffectiveness|IsPointer,30,23,55,25,0,0x11,0,SRank,0x92,0x0,NoEffect,1,0x0,0x0,0x0
MaidSweeper,MaidName,MaidDesc,0x0,0x94,0x3,IsWeapon|Unsellable,0x88aef9c,FlierAndMonster2|IsPointer,35,20,45,13,5,0x22,0,SRank,0x93,0x0,NoEffect,1,0x0,0x0,0x0
Vial,VialName,VialDesc,VialUseDesc,0x95,0x9,KoyoriLocked,0x0,0x0,3,0,0,0,0,0x11,0,NoRank,0x94,0x0,NoEffect,1,0x0,0x0,0x0
Dire Thunder,DireName,DireDesc,0x0,0x96,0x1,IsWeapon,0x0,0x0,41,12,65,12,0,0x12,50,CRank,0x95,0x0,NoEffect,1,0x0,0x0,0x0
Space Seal,SpaceName,SpaceDesc,0x4e0,0x97,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x96,0x30,NoEffect,0,0x0,0x0,0x0
Stopwatch,StopwatchName,StopwatchDesc,StopwatchUse,0x98,0x9,Unsellable,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,0x97,0x31,NoEffect,0,0x0,0x0,0x0
Solar Brace,0x3f8,0x4a9,0x4e2,0x99,0x9,Unsellable,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,0x98,0x32,NoEffect,0,0x0,0x0,0x0
1G,0x3f9,0x4a1,0x4da,0x9a,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,1,NoRank,0x99,0x0,NoEffect,0,0x0,0x0,0x0
5G,0x3fa,0x4a1,0x4da,0x9b,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,5,NoRank,0x9a,0x0,NoEffect,0,0x0,0x0,0x0
10G,0x3fb,0x4a1,0x4da,0x9c,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,10,NoRank,0x9b,0x0,NoEffect,0,0x0,0x0,0x0
50G,0x3fc,0x4a1,0x4da,0x9d,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,50,NoRank,0x9c,0x0,NoEffect,0,0x0,0x0,0x0
100G,0x3fd,0x4a1,0x4da,0x9e,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,100,NoRank,0x9d,0x0,NoEffect,0,0x0,0x0,0x0
3000G,0x400,0x4a1,0x4da,0x9f,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,3000,NoRank,0x9e,0x0,NoEffect,0,0x0,0x0,0x0
Pistol,PistolName,PistolDesc,0x4da,0xD7,0x3,IsWeapon|Unsellable|IsBrave|RBCLocked,0x0,0x0,14,4,70,6,5,0x13,5000,NoRank,0x9f,0x0,NoEffect,0,0x0,0x0,0x0
Wind Sword,0x368,0x418,0x0,0xa1,0x0,IsWeapon|MagicDamage,0x0,FlierEffectiveness|IsPointer,40,9,70,9,0,0x12,200,BRank,0xa1,0x0,NoEffect,1,0x0,0x0,0x0
Vulnerary,0x3e5,0x494,0x4d2,0xa2,0x9,0x0,0x0,0x0,60,0,0,0,0,0x11,100,NoRank,0xa2,0x21,NoEffect,0,0x0,0x0,0x0
Vulnerary (green note),0x3e5,0x494,0x4d2,0xa3,0x9,0x0,0x0,0x0,60,0,0,0,0,0x11,100,NoRank,0xa3,0x34,NoEffect,0,0x0,0x0,0x0
Vulnerary (red note),0x3e5,0x494,0x4d2,0xa4,0x9,0x0,0x0,0x0,60,0,0,0,0,0x11,100,NoRank,0xa4,0x35,NoEffect,0,0x0,0x0,0x0
Dance,0x3d2,0x481,0x4bf,0xa5,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0xa5,0x0,NoEffect,0,0x0,0x0,0x0
Nightmare,0x39c,0x44c,0x0,0xa6,0x4,0x0,0x88aefa8,0x0,1,0,70,8,0,0x13,0,NoRank,0xa6,0x35,NoEffect,0,0x0,"ItemStatus(SleepStatusID,5)",0x0
Demon Stone (DUMMY),0x399,0x449,0x4ae,0xa7,0xb,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,10,65,0,0,0x11,0,NoRank,0xa7,0x0,NoEffect,0,0x0,0x0,0x0
Demon Light,0x39a,0x44a,0x0,0xa8,0xb,IsWeapon|Indestructible|MonsterWeapon,0x88aefb4,0x0,0,15,60,0,0,0x13,0,NoRank,0xa8,0x0,NoEffect,0,0x0,0x0,0x0
Ravager,0x39b,0x44b,0x0,0xa9,0xb,IsWeapon|Indestructible|MonsterWeapon,0x88aefc0,0x0,0,15,85,0,10,0x11,0,NoRank,0xa9,0x0,NoEffect,0,0x0,0x0,0x0
Dragonstone,0x398,0x448,0x4ad,0xaa,0xb,IsWeapon|IsMagic|Indestructible|MonsterWeapon,0x88aefcc,MonsterEffectiveness|IsPointer,50,16,100,0,15,0x11,0,NoRank,0xaa,0x0,NoEffect,0,0x0,0x0,0x0
Demon Surge,0x3c0,0x46f,0x0,0xab,0x7,IsWeapon|IsMagic|Unsellable,0x0,0x0,0,11,80,10,0,0x12,0,NoRank,0xab,0x0,NoEffect,0,0x0,0x0,0x0
Shadowshot,0x3c1,0x470,0x0,0xac,0x7,IsWeapon|IsMagic|Uncounterable,0x0,0x0,5,13,70,20,5,0x3a,0,NoRank,0xac,0x0,CannotDoubleEffect,0,0x0,0x0,0x0
Rotten Claw,0x39e,0x44e,0x0,0xad,0xb,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,7,80,8,0,0x11,0,NoRank,0xad,0x0,NoEffect,0,0x0,0x0,0x0
Fetid Claw,0x39f,0x44f,0x0,0xae,0xb,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,12,75,10,0,0x11,0,NoRank,0xae,0x0,NoEffect,0,0x0,0x0,0x0
Poison Claw,0x3a0,0x450,0x0,0xaf,0xb,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,6,65,10,0,0x11,0,NoRank,0xaf,0x0,PoisonEffect,0,0x0,0x0,0x0
Lethal Talon,0x3a1,0x451,0x0,0xb0,0xb,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,10,60,12,0,0x11,0,NoRank,0xb0,0x0,PoisonEffect,0,0x0,0x0,0x0
Fiery Fang,0x3a2,0x452,0x0,0xb1,0xb,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,5,90,5,0,0x11,0,NoRank,0xb1,0x0,NoEffect,0,0x0,0x0,0x0
Hellfang,0x3a3,0x453,0x0,0xb2,0xb,IsWeapon|Indestructible|MonsterWeapon,0x0,0x0,0,13,80,8,0,0x11,0,NoRank,0xb2,0x0,NoEffect,0,0x0,0x0,0x0
Evil Eye,0x3be,0x46d,0x0,0xb3,0x7,IsWeapon|IsMagic|Unsellable|Indestructible,0x0,0x0,0,7,85,6,0,0x12,0,NoRank,0xb3,0x0,NoEffect,0,0x0,0x0,0x0
Crimson Eye,0x3bf,0x46e,0x0,0xb4,0x7,IsWeapon|IsMagic|Unsellable|Indestructible,0x0,0x0,0,14,70,13,5,0x12,0,NoRank,0xb4,0x0,NoEffect,0,0x0,0x0,0x0
Stone,0x3bd,0x46c,0x0,0xb5,0x7,IsWeapon|IsMagic,0x0,0x0,5,0,65,8,0,0x13,0,NoRank,0xb5,0x0,StoneEffect,5,0x0,0x0,0x0
Aircalibur,0x3ac,0x45b,0x0,0xb6,0x5,IsWeapon|IsMagic,0x0,FlierEffectiveness|IsPointer,20,8,85,2,0,0x12,55,BRank,0xb6,0x0,NoEffect,1,0x0,0x0,0x0
Redebut,RedebutName,RedebutDesc,0x4e3,0xb7,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,0xb7,0x36,NoEffect,0,0x0,0x0,0x0
150G,0x3fe,0x4a1,0x4da,0xb8,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,150,NoRank,0xb8,0x0,NoEffect,0,0x0,0x0,0x0
200G,0x3ff,0x4a1,0x4da,0xb9,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,200,NoRank,0xb9,0x0,NoEffect,0,0x0,0x0,0x0
Black Gem,0x3ee,0x49d,0x0,0xba,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,30000,NoRank,0xba,0x0,NoEffect,0,0x0,0x0,0x0
Rewarp,RewarpName,RewarpDesc,0x0,0xbb,0x4,IsStaff,0x0,0x0,2,0,100,8,0,0x11,40000,ARank,0xbb,0x3C,NoEffect,7,0x0,0x0,0x0
Skill Scroll,0xFFFF,0xFFFF,SkillScrollDesc,0xbc,0x9,0x0,0x0,0x0,1,0,0,0,0,0x0,7500,NoRank,0xbc,0x38,NoEffect,0,0x0,0x0,0x0
Wind,WindName,WindDesc,0x0,0xbd,0x5,IsWeapon|IsMagic,0x0,0x0,40,3,95,2,0,0x12,30,ERank,0xbd,0x0,NoEffect,1,0x0,0x0,0x0
Shaver,ShaverName,ShaverDesc,0x0,0xbe,0x5,IsWeapon|IsMagic,0x0,0x0,20,12,120,3,0,0x11,100,CRank,0xbe,0x0,NoEffect,1,0x0,0x0,0x0
Arcwind,ArcwindName,WindDesc,0x0,0xbf,0x5,IsWeapon|IsMagic,0x0,0x0,30,6,85,5,0,0x12,75,BRank,0xbf,0x0,NoEffect,1,0x0,0x0,0x0
Water,WaterName,WaterDesc,0x0,0xc0,0x5,IsWeapon,0x0,0x0,30,7,85,6,0,0x12,34,DRank,0xc0,0x0,NoEffect,1,0x0,0x0,0x0
Explosion,ExplosionName,ExplosionDesc,0x0,0xc1,0x5,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0xc1,0x0,NoEffect,1,0x0,0x0,0x0
Ancient One,AncientOneName,AncientOneDesc,0x0,0xc2,0x7,IsWeapon,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0xc2,0x0,NoEffect,1,0x0,0x0,0x0
Dark Spikes,DarkSpikesName,DarkSpikeDesc,0x0,0xc3,0x7,IsWeapon,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0xC3,0x0,NoEffect,1,0x0,0x0,0x0
Starlight,StarlightName,StarlightDesc,0x0,0xc4,0x5,IsWeapon,0x0,0x0,0,11,80,10,0,0x11,0,NoRank,0xc4,0x0,NoEffect,1,0x0,0x0,0x0
Rat Magic,RatMagicName,RatMagicDesc,0x0,0xc5,0x5,IsWeapon|Unsellable|IsMagic|BaeLocked,0x0,0x0,15,5,80,2,0,0x12,0,NoRank,0xc5,0x0,NoEffect,1,0x0,0x0,0x0
Necromancy,NecromancyName,NecromancyDesc,0x0,0xc6,0x7,IsWeapon,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0xc6,0x0,NoEffect,1,0x0,0x0,0x0
Society,SocietyName,SocietyDesc,0x0,0xc7,0x0,IsWeapon|Unsellable|NegateDef|MumeiLocked,0x0,0x0,40,12,75,7,5,0x12,0,NoRank,0xc7,0x0,NoEffect,3,0x0,0x0,0x0
Elite Sword,EliteSwordName,EliteSwordDesc,0x0,0xc8,0x0,IsWeapon,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0xc8,0x0,NoEffect,1,0x0,0x0,0x0
Chakimaru,ChakiName,ChakiDesc,0x0,0xc9,0x0,IsWeapon|Unsellable|IrohaLocked,ChakimaruBoost|IsPointer,0x0,35,10,90,6,20,0x11,0,NoRank,0xc9,0x0,NoEffect,1,0x0,0x0,0x0
Clock Hands,ClockHandsName,ClockHandsDesc,0x0,0xca,0x0,IsWeapon|Unsellable|Indestructible|IsBrave,ClockHandsBoost|IsPointer,SacredWeaponEffectiveness|IsPointer,0,13,120,5,0,0x11,0,NoRank,0xca,0x0,NoEffect,1,0x0,0x0,0x0
Manaslayer,ManaslayerName,ManaslayerDesc,0x0,0xcb,0x0,IsWeapon,ManaSlayerBoost|IsPointer,0x0,30,9,90,6,5,0x11,100,BRank,0xcb,0x0,NoEffect,3,0x0,0x0,0x0
Sleep Sword,SleepSwordName,SleepSwordDesc,0x0,0xcc,0x0,IsWeapon,ClockHandsBoost|IsPointer,0x0,10,7,80,6,0,0x11,1000,CRank,0xcc,0x0,SleepEffect,3,0x0,0x0,0x0
Play,PlayName,BlankDesc,0x0,0xcd,0xc,0x0,0x0,0x0,0,0,0,0,0,0x11,0,NoRank,0xcd,0x0,NoEffect,0,0x0,0x0,0x0
Rakshasa,RakshasaName,RakshasaDesc,0x0,0xce,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xce,0x0,NoEffect,1,0x0,0x0,0x0
Keris,KerisName,KerisDesc,KerisUse,0xcf,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xcf,0x0,NoEffect,1,0x0,0x0,0x0
Antithesis,AntithesisName,AntithesisDesc,AntithesisUse,0xd0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xd0,0x0,NoEffect,1,0x0,0x0,0x0
Barrier Blade,BarrierBladeName,BarrierBladeDesc,0x0,0xd1,0x0,IsWeapon,BarrierBladeBoost|IsPointer,0x0,30,5,80,6,5,0x11,100,DRank,0xd1,0x0,NoEffect,1,0x0,0x0,0x0
B. Sage Seal,SageSealName,SageSealDesc,0x0,0xd2,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xd2,0x0,NoEffect,1,0x0,0x0,0x0
Magic Ring,MagicRingName,MagicRingDesc,MagicRingUse,0xd3,0x9,0x0,MagicRingBoost|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,0xd3,0x0,NoEffect,1,0x0,0x0,0x0
Seisoda,SeisodaName,SeisodaDesc,SeisodaUse,0xd4,0x9,0x0,0x0,0x0,1,0,0,0,0,0x11,4000,NoRank,0xd4,0x39,NoEffect,1,0x0,0x0,0x0
Ricky,RickyName,RickyDesc,0x0,0xd5,0x2,IsWeapon|Indestructible|Unsellable,0x0,SacredWeaponEffectiveness|IsPointer,0,25,70,20,10,0x11,0,NoRank,0xd5,0x0,NoEffect,1,0x0,0x0,0x2F
Sus,SusName,SusDesc,0x0,0xd6,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xd6,0x0,NoEffect,1,0x0,0x0,0x0
Glock,GlockName,GlockDesc,0x0,0xd7,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xd7,0x0,NoEffect,1,0x0,0x0,0x0
Mace,MaceName,MaceDesc,0x0,0xd8,0x2,IsWeapon|Unsellable|NoelLocked,0x0,ArmorEffectiveness|IsPointer,40,13,75,13,0,0x11,160,NoRank,0xd8,0x0,NoEffect,1,0x0,0x0,0x0
Scythe,ScytheName,ScytheDesc,0x0,0xd9,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xd9,0x0,NoEffect,1,0x0,0x0,0x0
Crossbow,CrossbowName,CrossbowDesc,CrossbowUse,0xda,0x3,IsWeapon|Unsellable|BotanLocked,0x0,0x0,25,8,90,7,5,0x13,0,NoRank,0xda,0x0,NoEffect,1,0x0,0x0,0x0
Rifle,RifleName,RifleDesc,0x0,0xdb,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xdb,0x0,NoEffect,1,0x0,0x0,0x0
Doogstone,DoogStoneName,DoogStoneDesc,0x0,0xdc,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xdc,0x0,NoEffect,1,0x0,0x0,0x0
Hand Cannon,HandCannonName,HandCannonDesc,0x0,0xdd,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xdd,0x0,NoEffect,1,0x0,0x0,0x0
Zetamin,ZetaminName,ZetaminDesc,0x0,0xde,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xde,0x0,NoEffect,1,0x0,0x0,0x0
Flame Lance,FlameName,FlameDesc,0x0,0xdf,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xdf,0x0,NoEffect,1,0x0,0x0,0x0
Asacoco,AsacocoName,AsacocoDesc,AsacocoUse,0xe0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xe0,0x0,NoEffect,1,0x0,0x0,0x0
Suicopath,SuicopathName,SuicopathDesc,0x0,0xe1,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xe1,0x0,NoEffect,1,0x0,0x0,0x0
MTG,MTGName,MTGDesc,0x0,0xe2,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xe2,0x0,NoEffect,1,0x0,0x0,0x0
Howitzer,HowitzerName,HowitzerDesc,0x0,0xe3,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xe3,0x0,NoEffect,1,0x0,0x0,0x0
Trident,TridentName,TridentDesc,0x0,0xe4,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xe4,0x0,NoEffect,1,0x0,0x0,0x0
Hawk Bow,HawkName,HawkDesc,0x0,0xe5,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xe5,0x0,NoEffect,1,0x0,0x0,0x0
Darksphere,DarksphereName,DarksphereDesc,0x0,0xe6,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xe6,0x0,NoEffect,1,0x0,0x0,0x0
KRH-69,KRHName,KRHDesc,0x0,0xe7,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xe7,0x0,NoEffect,1,0x0,0x0,0x0
Night Lance,NightName,NightDesc,0x0,0xe8,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xe8,0x0,NoEffect,1,0x0,0x0,0x0
Kanabo,KanaboName,KanaboDesc,0x0,0xe9,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xe9,0x0,NoEffect,1,0x0,0x0,0x0
Lifecleaver,LifecleaverName,LifecleaverName,0x0,0xea,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xea,0x0,NoEffect,1,0x0,0x0,0x0
Rancid Claw,RancidName,RacidDesc,0x0,0xeb,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xeb,0x0,NoEffect,1,0x0,0x0,0x0
Chicken Claw,ChickenName,ChickenDesc,0x0,0xec,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xec,0x0,NoEffect,1,0x0,0x0,0x0
Duelist Lance,DuelistLncName,DuelistLncDesc,0x0,0xed,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xed,0x0,NoEffect,1,0x0,0x0,0x0
Duelist Axe,DuelistAxeName,DuelistAxeDesc,0x0,0xee,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xee,0x0,NoEffect,1,0x0,0x0,0x0
Duelist Sword,DuelistSwdName,DuelistSwdDesc,0x0,0xef,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xef,0x0,NoEffect,1,0x0,0x0,0x0
Steel Scythe,SteelScytheName,SteelScytheDesc,0x0,0xf0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xf0,0x0,NoEffect,1,0x0,0x0,0x0
Combat Stim,CombatStimName,CombatStimDesc,CombatStimText,0xf1,0x9,Unsellable|AmeliaLocked,0x0,0x0,3,0,0,0,0,0x11,0,NoRank,0xf1,0x0,NoEffect,0,0x0,0x0,0x0
Entrap,EntrapName,EntrapDesc,EntrapSubtitleText,0xf2,0x4,IsStaff,0x0,0x0,2,0,75,12,0,0x10,0,ARank,0xf2,0x41,NoEffect,1,0x0,0x0,0x0
Thief Staff,ThiefName,ThiefDesc,ThiefUse,0xf3,0x4,IsStaff|Unsellable,0x0,0x0,5,0,60,10,0,0x10,0,NoRank,0xf3,0x3F,NoEffect,1,0x0,0x0,0x0
Again Staff,AgainName,AgainDesc,AgainUse,0xf4,0x4,IsStaff|Unsellable|MikoLocked,0x0,0x0,3,0,100,20,0,0x11,0,NoRank,0xf4,0x3D,NoEffect,1,0x0,0x0,0x0
Aum Staff,AumName,AumDesc,0x0,0xf5,0x4,IsStaff|Unsellable,0x0,0x0,3,0,0,0,0,0x11,0,SRank,0xf5,0x3B,NoEffect,1,0x0,0x0,0x0
Gradivus,GradivusName,GradivusDesc,0x0,0xf6,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xF6,0x0,NoEffect,1,0x0,0x0,0x0
Parthia,ParthiaName,ParthisDesc,0x0,0xf7,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xF7,0x0,NoEffect,1,0x0,0x0,0x0
Tusks,TusksName,TusksDesc,0x0,0xf8,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xf8,0x0,NoEffect,1,0x0,0x0,0x0
Rock,RockName,RockDesc,0x0,0xf9,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xf9,0x0,NoEffect,1,0x0,0x0,0x0
Poko-Wand,PokoName,PokoDesc,0x0,0xfa,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xfa,0x0,NoEffect,1,0x0,0x0,0x0
Punch,PunchName,PunchDesc,0x0,0xfb,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xfb,0x0,NoEffect,1,0x0,0x0,0x0
Dragonstone-,DragonName,DragonDesc,0x0,0xfc,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xfc,0x0,NoEffect,1,0x0,0x0,0x0
Selection,SelectionName,SelectionDesc,0x0,0xfd,0x3,IsWeapon|Unsellable|NegateDef|FaunaLocked,0x0,FlierEffectiveness|IsPointer,35,8,80,7,5,0x12,0,NoRank,0xfd,0x0,NoEffect,3,0x0,0x0,0x0
Asura,AsuraName,AsuraDesc,0x0,0xfe,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xfe,0x0,NoEffect,1,0x0,0x0,0x0
Mercurius,MerceriusName,MerceriusDesc,0x0,0xff,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,NoRank,0xff,0x0,NoEffect,1,0x0,0x0,0x0
